gameId,playId,blocker_nflId,rusher_nflId,outcome,frameId,team,x,y,s,a,dis,o,dir,event,playDescription,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,playResult,passResult,absoluteYardlineNumber,offenseFormation,foulName1,foulName2,foulNFLId1,foulNFLId2,foulName3,foulNFLId3,officialPosition,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,pff_role,pff_positionLinedUp,pff_hit,pff_hurry,pff_sack,pff_beatenByDefender,pff_hitAllowed,pff_hurryAllowed,pff_sackAllowed,pff_blockType,pff_backFieldBlock,row_id,before_blocker_elo,before_rusher_elo,after_blocker_elo,after_rusher_elo
2021090900,97,40151,44955,1,1,TB,42.18,23.97,0,0,0.01,45.36,206.92,None,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,TB,DAL,TB,33,0,I,43,SHOTGUN,,,,,,,C,Ryan Jensen,2021,1,09/09/2021,TB,DAL,Pass Block,C,,,,0,0,0,0,SW,0,1,1200,800,1202.90909090909,797.090909090909
2021090900,97,42377,42403,0,1,TB,41.55,26.89,0,0,0,148.02,132.28,None,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,TB,DAL,TB,33,0,I,43,SHOTGUN,,,,,,,T,Donovan Smith,2021,1,09/09/2021,TB,DAL,Pass Block,LT,,,,0,0,1,0,PP,0,2,1200,800,1170.90909090909,829.090909090909
2021090900,97,42404,44955,1,1,TB,41.95,25.66,0,0,0,108.14,151.12,None,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,TB,DAL,TB,33,0,I,43,SHOTGUN,,,,,,,G,Ali Marpet,2021,1,09/09/2021,TB,DAL,Pass Block,LG,,,,0,0,0,0,PP,0,3,1200,797.090909090909,1202.86510612578,794.225802965129
2021090900,97,46163,53441,0,1,TB,41.42,22.63,0,0,0,107.71,216.03,None,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,TB,DAL,TB,33,0,I,43,SHOTGUN,,,,,,,G,Alex Cappa,2021,1,09/09/2021,TB,DAL,Pass Block,RG,,,,0,0,1,0,SW,0,4,1200,800,1170.90909090909,829.090909090909
2021090900,97,52421,53441,0,1,TB,41.15,21.36,0,0,0.01,49.72,293.16,None,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,TB,DAL,TB,33,0,I,43,SHOTGUN,,,,,,,T,Tristan Wirfs,2021,1,09/09/2021,TB,DAL,Pass Block,RT,,,,0,0,1,0,PP,0,5,1200,829.090909090909,1171.38334399228,857.707565098625
2021090900,137,37082,35454,1,1,DAL,10.39,32.9133333333333,0,0,0,9.05000000000001,35.09,None,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,DAL,TB,DAL,2,28,C,108,EMPTY,,,,,,,T,Tyron Smith,2021,1,09/09/2021,TB,DAL,Pass Block,LT,,,,0,0,0,0,PT,0,6,1200,800,1202.90909090909,797.090909090909
2021090900,137,42654,40074,1,1,DAL,10.12,26.8533333333333,0,0,0,97.33,304.21,None,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,DAL,TB,DAL,2,28,C,108,EMPTY,,,,,,,T,La'el Collins,2021,1,09/09/2021,TB,DAL,Pass Block,RT,,,,0,0,0,0,PP,0,7,1200,800,1202.90909090909,797.090909090909
2021090900,137,46119,35441,1,1,DAL,10.66,31.2133333333333,0,0,0.01,183.75,72.51,None,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,DAL,TB,DAL,2,28,C,108,EMPTY,,,,,,,G,Connor Williams,2021,1,09/09/2021,TB,DAL,Pass Block,LG,,,,0,0,0,0,SW,0,8,1200,800,1202.90909090909,797.090909090909
2021090900,137,47873,46081,1,1,DAL,11.28,28.5933333333333,1.06,0.66,0.11,34.43,63.53,None,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,DAL,TB,DAL,2,28,C,108,EMPTY,,,,,,,G,Connor McGovern,2021,1,09/09/2021,TB,DAL,Pass Block,RG,,,,0,0,0,0,PP,0,9,1200,800,1202.90909090909,797.090909090909
2021090900,137,52554,35441,1,1,DAL,10.69,28.8333333333333,0.88,1.03,0.14,94.2,44.43,None,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,DAL,TB,DAL,2,28,C,108,EMPTY,,,,,,,C,Tyler Biadasz,2021,1,09/09/2021,TB,DAL,Pass Block,C,,,,0,0,0,0,PP,0,10,1200,797.090909090909,1202.86510612578,794.225802965129
