player_name,final_elo,role
Mykal Walker,693.4378974357592,Rusher
Will Hernandez,1069.989948509081,Blocker
Ta'Quon Graham,781.2979544134707,Rusher
Nate Solder,1053.2988769259296,Blocker
Adetokunbo Ogundeji,851.445919401892,Rusher
Andrew Thomas,934.3358268474792,Blocker
Marlon Davidson,815.5073638523644,Rusher
Ben Bredeson,1129.0734769494109,Blocker
Billy Price,1157.085531964489,Blocker
Deion Jones,590.0713877010536,Rusher
Tyeler Davison,882.7898673160256,Rusher
Foyesade Oluokun,506.896445966442,Rusher
Grady Jarrett,847.4515200329284,Rusher
Jacob Tuioti-Mariner,849.0728849786647,Rusher
Azeez Ojulari,909.4151360054581,Rusher
Jake Matthews,1003.1937728931412,Blocker
Lorenzo Carter,847.5013629067608,Rusher
Kaleb McGary,1043.0261156010772,Blocker
Dexter Lawrence,864.2272361237747,Rusher
Chris Lindstrom,1069.2142923973088,Blocker
Matt Hennessy,1027.4837226167886,Blocker
Jalen Mayfield,1130.209156218344,Blocker
Quincy Roche,754.4732453624457,Rusher
Oshane Ximines,832.0745459077617,Rusher
Tae Crowder,484.49967749720633,Rusher
Leonard Williams,815.7774928297076,Rusher
Jonathan Bullard,735.4957593565555,Rusher
Brandon Copeland,916.2858709993835,Rusher
Reggie Ragland,747.9541059143814,Rusher
Danny Shelton,897.263540039827,Rusher
Steven Means,768.448140003236,Rusher
Dante Fowler Jr.,856.1814999387454,Rusher
Austin Johnson,835.9581046461462,Rusher
Carter Coughlin,818.9133480916247,Rusher
Raymond Johnson III,747.8107863362291,Rusher
Jason Spriggs,936.002342763789,Blocker
Blake Martinez,627.9228495403563,Rusher
Kyle Van Noy,651.5989336565241,Rusher
Charlie Heck,1023.756158112379,Blocker
Tytus Howard,1073.86211245636,Blocker
Laremy Tunsil,1028.6434940393422,Blocker
Dont'A Hightower,631.159646588912,Rusher
Justin Britt,1068.3481540984117,Blocker
Max Scharping,1042.1939066571842,Blocker
Jacob Martin,1003.3496550636797,Rusher
Justin Herron,984.2781017570112,Blocker
Jonathan Greenard,869.0765509122731,Rusher
David Andrews,1067.4853283396026,Blocker
Maliek Collins,872.2127581821534,Rusher
James Ferentz,1086.5783243303122,Blocker
Yodny Cajuste,1062.8671045906858,Blocker
Christian Kirksey,519.4300362313112,Rusher
Ted Karras,1113.7114442899206,Blocker
Ja'Whaun Bentley,692.2524577251241,Rusher
Davon Godchaux,853.8263812418475,Rusher
Geron Christian Sr.,998.3291812155348,Blocker
Matthew Judon,717.6929004568865,Rusher
Lawrence Guy,857.966401248704,Rusher
Deatrich Wise Jr.,855.8698934488975,Rusher
Carl Davis Jr.,921.6569900447181,Rusher
Jordan Jenkins,906.8651369713235,Rusher
Zach Cunningham,641.9859962353731,Rusher
Kamu Grugier-Hill,605.0854804894873,Rusher
Jaleel Johnson,792.4232215609878,Rusher
Roy Lopez,807.555171630243,Rusher
Demarcus Walker,953.2194187474498,Rusher
Christian Barmore,835.5638192352153,Rusher
Chase Winovich,839.8006224750666,Rusher
Whitney Mercilus,792.3124362538734,Rusher
Josh Uche,857.1494979731297,Rusher
Jamie Collins Sr.,754.7771965948219,Rusher
Yannick Ngakoue,886.5682955390513,Rusher
Alex Barshaba,1077.5637508787129,Blocker
Maxx Crosby,796.0814267652389,Rusher
Sam Mustipher,978.9417591473333,Blocker
James Daniels,1062.4723571754773,Blocker
Cory Littleton,508.8746747630644,Rusher
Germain Ifedi,1103.7664997503778,Blocker
Quinton Jefferson,898.3511351176763,Rusher
Jason Peters,987.4461974152193,Blocker
Elijah Wilkinson,1044.3676739967343,Blocker
Darius Philon,909.1914367150662,Rusher
Johnathan Hankins,737.3430426130564,Rusher
Cody Whitehair,1087.8722501053821,Blocker
Trevis Gipson,837.529678100051,Rusher
Kolton Miller,990.2402606797225,Blocker
Roquan Smith,586.9261728561147,Rusher
Andre James,947.9188141121141,Blocker
Bilal Nichols,828.9331225030119,Rusher
Brandon Parker,1038.6992717227774,Blocker
K.J. Wright,574.544726498668,Rusher
Khalil Mack,835.3432026841309,Rusher
Alex Leatherwood,1008.4199643651815,Blocker
Danny Trevathan,671.3640627911884,Rusher
Jeremiah Attaochu,847.2581525728453,Rusher
John Simpson,987.0174756315239,Blocker
Robert Quinn,839.3003311787185,Rusher
Mario Edwards Jr.,835.0209612387799,Rusher
Eddie Goldman,873.2662167204128,Rusher
Nick Kwiatkoski,666.7933956846962,Rusher
Angelo Blackson,823.0798957445481,Rusher
Carl Nassib,881.3880233401392,Rusher
Denzel Perryman,419.22806332264884,Rusher
Clelin Ferrell,935.9995381941225,Rusher
Alec Ogletree,530.137031923013,Rusher
Khyiris Tonga,937.0553282115203,Rusher
Solomon Thomas,830.0678422981091,Rusher
Nick Bosa,800.8408299099061,Rusher
Kelvin Beachum,1033.921557905404,Blocker
Fred Warner,501.93262486219123,Rusher
Josh Jones,1019.1421589571044,Blocker
Justin Pugh,983.4624797393212,Blocker
Max Garcia,960.1150358013812,Blocker
Arik Armstead,886.1753606935673,Rusher
D.J. Humphries,1023.4693255582245,Blocker
Samson Ebukam,836.2975072981939,Rusher
Javon Kinlaw,844.1116472521189,Rusher
Zach Allen,893.6265298895868,Rusher
Trent Williams,1078.5480385156586,Blocker
