player_name,role,mean_final_elo,sd_final_elo,q025,q50,q975
A'Shawn Robinson,Rusher,734.783407352206,3.0395503521228,728.257246868023,734.954075808615,740.158758937002
A.J. Cann,Blocker,1108.56730178995,3.59710161372921,1102.05656436875,1108.38630955322,1116.05245671801
A.J. Epenesa,Rusher,740.369846898735,4.22645422656347,731.356731307843,740.693985745804,747.701961018514
A.J. Johnson,Rusher,748.985562953345,0.304834356755188,748.349382014166,748.99676033561,749.548687811652
Aaron Brewer,Blocker,1085.20349008133,5.20443087612282,1076.52681543082,1084.74350721946,1096.77489217828
Aaron Donald,Rusher,816.583374181645,11.9364385461035,794.231003741564,816.381663352224,840.534611870722
Aaron James Klein,Rusher,739.570769590228,0.4959857382036,738.565263125288,739.585559992853,740.510733767587
Aaron Patrick,Rusher,756.326986400992,1.06499738366485,754.144884481074,756.344680948946,758.347460817794
Aaron Stinnie,Blocker,1117.12541213155,0.835642356614311,1115.58080049869,1117.11765687688,1118.72627251428
Abdullah Anderson,Rusher,740.968860767291,0.83988029698183,739.305150312981,740.974918070752,742.601265565308
Adam Butler,Rusher,691.31177672385,2.49426246245325,686.542574903299,691.297196636356,696.226648390934
Adam Gotsis,Rusher,750.703477776815,2.23464027137369,746.011204417584,750.773713880235,754.828656000891
Adetokunbo Ogundeji,Rusher,700.312947791975,2.40866912805806,695.345371969045,700.460122302362,704.620795915069
Aj Jackson,Blocker,1115.85913148912,1.19897150478457,1113.60693541347,1115.84900722254,1118.23254733143
Akeem Davis-Gaither,Rusher,746.36141817152,0.280542715828168,745.774210832188,746.377114711544,746.87033828582
Akeem Spence,Rusher,747.483684581135,0.139968462521415,747.198323717127,747.484197091511,747.759813429944
Akiem Hicks,Rusher,772.024110488402,3.87915775675738,763.600730094402,772.30189809766,778.713749244936
Al Woods,Rusher,714.719072028,2.18204764454856,710.469320543985,714.741787501986,718.93440648617
Al-Quadin Muhammad,Rusher,757.508410602584,4.49024753741216,748.450137375136,757.547936232726,766.141389392028
Albert Huggins,Rusher,717.428629092513,1.91555587600511,713.62897831333,717.472747051194,721.06795931069
