player_name,role,mean_final_elo,sd_final_elo,q025,q50,q975
A'Shawn Robinson,Rusher,734.626958290149,3.77272537947505,726.216756648422,734.99024243987,740.923394243712
A.J. Cann,Blocker,1108.51866116722,2.84502786293885,1103.12084115783,1108.48217008246,1113.92559513412
A.J. Epenesa,Rusher,740.760591996464,4.43512548557691,731.372605621684,741.187698353061,748.285831145073
A.J. Johnson,Rusher,748.907009606576,0.574726652447558,747.898966579318,749.047385831957,749.717684974606
Aaron Brewer,Blocker,1085.5984026272,3.90498807088192,1078.56791165124,1085.3682362815,1093.53483751861
Aaron Donald,Rusher,815.893194966175,10.7244816566406,794.251941362978,816.270307387658,835.380146958071
Aaron James Klein,Rusher,739.759585858645,0.579474588569986,738.564815765439,739.785554704158,740.80788471078
Aaron Patrick,Rusher,756.111690421754,1.60976561901157,752.654046073271,756.259749258601,758.893020839599
Aaron Stinnie,Blocker,1117.06062389825,0.689664632390548,1115.79650126801,1117.03694844849,1118.44660124093
Abdullah Anderson,Rusher,740.669502025186,1.14999117963419,738.361819546972,740.697718822528,742.848807161322
Adam Butler,Rusher,691.363921513224,2.97770880364158,685.619412806217,691.354422843954,697.156080703065
Adam Gotsis,Rusher,750.129849723222,2.86576128328623,744.513746046166,750.153263663229,755.630290198245
Adetokunbo Ogundeji,Rusher,700.523789681806,2.89206566622704,694.777390555055,700.578460529054,705.869824287043
Aj Jackson,Blocker,1115.64050059221,1.28093428169911,1112.9855699693,1115.74247985452,1117.94595029384
Akeem Davis-Gaither,Rusher,746.404737593418,0.28065725687778,745.782228571506,746.435357410276,746.889796790437
Akeem Spence,Rusher,747.496973707262,0.154367800097483,747.184581773117,747.501792981063,747.81882128674
Akiem Hicks,Rusher,771.313131631518,5.78055674866169,759.506956557198,771.736653456435,780.959172353533
Al Woods,Rusher,714.871663588069,2.12732613720374,710.696762752859,714.887711692859,718.97497348307
Al-Quadin Muhammad,Rusher,757.748830088109,4.730159916447,748.732600787767,757.752524524463,767.032238163941
Albert Huggins,Rusher,718.496877847333,2.0686544853973,714.30679107624,718.581286357817,722.24897694378
Alec Ogletree,Rusher,738.852522363044,0.519088477754369,737.830075509089,738.865238240918,739.796590291716
Alejandro Villanueva,Blocker,1167.40937009464,7.68086373653719,1152.4303300049,1167.40113850275,1182.58197026837
Alex Anzalone,Rusher,717.486231498588,0.694509108333747,716.13412739828,717.487089515963,718.863354380861
Alex Bars,Blocker,1113.86400833999,0.468543714470947,1113.01257748134,1113.85097049244,1114.79283616482
Alex Barshaba,Blocker,1125.33755199351,0.348094288468351,1124.72082173693,1125.300703524,1126.12612664807
Alex Cappa,Blocker,1209.24004687877,2.01143929454784,1205.34859518427,1209.19720402837,1213.23638862398
Alex Highsmith,Rusher,745.677322176464,5.9992420015857,733.621145348622,745.956440170475,756.658750298331
Alex Leatherwood,Blocker,1113.92324518907,9.32154557076549,1095.59384916651,1114.05352828181,1131.18257883575
Alex Mack,Blocker,1149.55276987154,6.99336094336534,1135.60986047864,1149.74591614794,1162.53649478019
Alex Okafor,Rusher,708.122294609875,2.54396009459878,702.9009140966,708.227607859298,712.823023532087
Alex Singleton,Rusher,749.091784504952,0.588592725354902,747.920094584763,749.106987168063,750.179652049468
Alexander Johnson,Rusher,761.113555804166,1.3167689998257,758.729983511518,761.124135998439,763.414079651765
Ali Marpet,Blocker,1170.23383433422,5.4144692449797,1161.35494618171,1169.32714506031,1181.84445768912
Alijah Vera-Tucker,Blocker,1176.29430855003,4.41455946642989,1168.08618719644,1176.20561312999,1185.0753719845
Alim Mcneill,Rusher,796.375139051913,3.68642053697988,788.168216593529,796.78556752437,802.457262465343
Alton Robinson,Rusher,734.595659478416,3.0127628759713,728.530794562798,734.675973436068,740.264030335484
Amani Bledsoe,Rusher,738.215816542717,1.01705843048664,736.227549718473,738.206331964919,740.170905372223
Amen Ogbongbemiga,Rusher,767.59524045188,0.190312972393395,767.160075951405,767.62112792255,767.908133543591
Andre Dillard,Blocker,1148.08314344641,4.59145929875464,1140.32831875681,1147.54624284911,1157.12961825652
Andre James,Blocker,1125.42594032999,8.89421089992762,1108.41786529763,1125.2584545287,1143.12642359056
Andre Mintze,Rusher,725.344069143225,1.27386428718717,722.630909079641,725.445789668886,727.574229114823
Andre Smith,Blocker,1136.02260117322,0.969805635015631,1134.03531759291,1136.01927060444,1137.96115434837
Andrew Billings,Rusher,743.681050086711,1.56864001101993,740.679286683624,743.676868549905,746.67442836923
Andrew Brown,Rusher,749.060775047334,0.26593258837727,748.488376961916,749.053185676398,749.584879496501
Andrew Dowell,Rusher,747.740513634176,0.11481797763514,747.508550333688,747.744872125284,747.954672205775
Andrew Norwell,Blocker,1150.53965397318,5.67494132944697,1139.82970839891,1150.52576095076,1161.3179284638
Andrew Thomas,Blocker,1160.30406940215,2.61005562282176,1155.17645196502,1160.35057748947,1165.36541118705
Andrew Van Ginkel,Rusher,694.83330694782,3.25607249910348,688.395000443302,694.831396886969,701.179169052041
Andrew Whitworth,Blocker,1180.26815985922,5.69087952448943,1169.39771496898,1180.23316774576,1191.43506163298
Andrew Wylie,Blocker,1131.90151137139,5.66894575850615,1121.09938987885,1131.89008539987,1142.92531170239
Andrus Peat,Blocker,1118.36362135097,6.14514342350626,1107.51232525923,1118.74649514089,1129.19147691949
Angelo Blackson,Rusher,715.713978203761,3.36630354763967,709.047314897574,715.720363747794,722.24038030305
Anthony Barr,Rusher,716.512352286063,1.28182896801046,713.859315340517,716.535474811974,718.964235970918
Anthony Hitchens,Rusher,741.128400054326,0.646979488438584,739.84081676579,741.14075595133,742.357895614949
Anthony Levine Sr.,Rusher,747.93038764077,0.132638038111751,747.644812055755,747.943787443113,748.153753851806
Anthony Nelson,Rusher,737.9901865755,0.693529846386577,736.578687456334,738.006690089326,739.325069691807
Anthony Pittman,Rusher,743.127663616762,0.39705552504112,742.328683890819,743.142418339408,743.849643870974
Anthony Rush,Rusher,705.865055137449,1.8563530857384,702.142665187057,705.92019533085,709.335684312631
Anthony Walker Jr.,Rusher,750.095345741876,0.602311238318232,748.892853242416,750.101396070926,751.230953577694
Antwaun Woods,Rusher,729.643698729895,0.988933983577377,727.701762288327,729.651825115603,731.558058666038
Arden Key,Rusher,758.392761465395,3.61304714606225,750.949657700987,758.585258446832,764.930453289632
Arik Armstead,Rusher,768.486687354636,11.6798245631906,746.641975708827,768.123066668423,792.072414996974
Armon Watts,Rusher,756.412215981614,5.9259591338447,745.335000481557,756.345522166907,767.971728373175
Attauyo Nsekhe,Blocker,1127.42822036143,0.105197048789431,1127.24018777057,1127.41600938097,1127.6569939079
