iteration,delta_logloss_elo_vs_pbwr,delta_brier_elo_vs_pbwr,delta_logloss_elo_vs_global,delta_brier_elo_vs_global
1,0.015104956976344468,0.005865296219896018,0.014328043426552006,0.0056285235997686695
2,0.014222388597312854,0.005525898659204606,0.013783794712277527,0.005416165260900282
3,0.013910984282211814,0.005355566792979068,0.012983447923574544,0.005077750783153416
4,0.013375628334422834,0.005273578520847723,0.012272996243023712,0.004957390970449711
5,0.013102979661020798,0.004967957506338589,0.012834485102519465,0.004946741328547402
6,0.016620710666746304,0.006590108186492877,0.015478882443587723,0.006242522269515759
7,0.01432528324777842,0.005491851519024301,0.013048213933457615,0.005056537400284227
8,0.013816701732289424,0.005505440389997192,0.013520659945602646,0.005469276880416091
9,0.013586741390865822,0.005243154276997181,0.012940654922304234,0.00510617033406449
10,0.013029320910784304,0.00501357146105193,0.012030269077580738,0.004752813878944112
11,0.015351773670327222,0.006120374544783768,0.014540319225796065,0.005886081211520096
12,0.01342322208801579,0.005274346168215359,0.013205364278719605,0.0052640856897242525
13,0.013364559012504888,0.005182200036011895,0.013211216831645677,0.005196777978095561
14,0.013175267331008439,0.005055595114600283,0.013075747516345968,0.005072709768675088
15,0.012336210611831192,0.004730233636562777,0.011229125909390212,0.004356530820945752
16,0.014673981523281518,0.005677185957177757,0.013666458246297466,0.0053633689083328415
17,0.015619800769438091,0.006123759263538132,0.015077701654197568,0.005968164177230046
18,0.012359776656387565,0.004695898507897564,0.012158278395742511,0.004690260138741684
19,0.013471431273696835,0.005355291727648451,0.013083453534680696,0.00529423202518946
20,0.014193217467776385,0.005568235227329853,0.01249123364498522,0.004992832984292169
