player_name,role,mean_score,sd_score,q025,q50,q975,mean_elo_like,sd_elo_like,n_boot
Aaron Donald,Rusher,2.2882588288104723e-4,2.5511686253115864e-5,2.1168837084941945e-4,2.2882588288104723e-4,2.45963394912675e-4,1000.0397513370287,0.004431793309206157,2
Josh Allen,Rusher,1.930299219760209e-4,8.756305588233831e-6,1.871478610694182e-4,1.930299219760209e-4,1.989119828826236e-4,1000.0335329417105,0.0015210855632876478,2
Myles Garrett,Rusher,1.8545808224210768e-4,4.183679631510657e-5,1.5735415398345206e-4,1.8545808224210768e-4,2.135620105007633e-4,1000.0322175784247,0.0072678364282880905,2
Joe Thuney,Blocker,1.5567274409757304e-4,2.1997417933923414e-5,1.408959468773848e-4,1.5567274409757304e-4,1.704495413177613e-4,1000.0270433352257,0.0038213834061855013,2
Trey Hopkins,Blocker,1.516233908571448e-4,1.0536915320143472e-5,1.4454520279526603e-4,1.516233908571448e-4,1.5870157891902358e-4,1000.0263398905187,0.0018304901881784543,2
Robert Quinn,Rusher,1.3931075531230285e-4,4.934420401934599e-5,1.0616371510168743e-4,1.3931075531230285e-4,1.724577955229183e-4,1000.0242009666488,0.008571925691579335,2
Mitch Morse,Blocker,1.35389028117937e-4,1.1794127075902018e-5,1.274663062460681e-4,1.35389028117937e-4,1.4331174998980585e-4,1000.0235196928567,0.0020488902394615004,2
Joel Bitonio,Blocker,1.3438212452665895e-4,2.7444822328513525e-5,1.1594602554855466e-4,1.3438212452665895e-4,1.5281822350476324e-4,1000.0233447757873,0.004767613441335779,2
Joey Bosa,Rusher,1.2222383786568978e-4,3.3073141364138443e-6,1.2000214482498604e-4,1.2222383786568978e-4,1.2444553090639352e-4,1000.0212326650649,5.745798279806924e-4,2
Nick Bosa,Rusher,1.2166148760695713e-4,2.5545924335662892e-5,1.0450097609400272e-4,1.2166148760695713e-4,1.3882199911991152e-4,1000.021134974819,0.004437741073387661,2
Adam Gotsis,Rusher,1.193904141973231e-4,8.716933827882964e-6,1.1353480132751517e-4,1.193904141973231e-4,1.25246027067131e-4,1000.0207404489591,0.0015143270205234738,2
J.C. Tretter,Blocker,1.1896081928588665e-4,6.756201439836982e-6,1.1442233122537415e-4,1.1896081928588665e-4,1.2349930734639915e-4,1000.0206658206794,0.0011737129178246198,2
Zack Martin,Blocker,1.1868016803564209e-4,4.584966240836926e-5,8.788059119177385e-5,1.1868016803564209e-4,1.4947974487951036e-4,1000.0206170665637,0.007964942668721412,2
T.J. Watt,Rusher,1.1154395642161023e-4,1.0538163156564097e-4,4.075369344367151e-5,1.1154395642161023e-4,1.8233421939954896e-4,1000.0193773796334,0.01830662391690875,2
Tyler Biadasz,Blocker,1.0981039985592903e-4,4.6324387038415415e-5,7.869192605721397e-5,1.0981039985592903e-4,1.4092887365464412e-4,1000.0190762300132,0.008047410783579036,2
Corey Linsley,Blocker,1.0906626672352993e-4,8.406758801730505e-6,1.0341901437485177e-4,1.0906626672352993e-4,1.147135190722081e-4,1000.0189469608479,0.001460444099526555,2
Javon Hargrave,Rusher,1.0692631271784158e-4,2.1990078520393012e-5,9.215444575927678e-5,1.0692631271784158e-4,1.216981796764064e-4,1000.0185752127613,0.003820108419482688,2
Micah Parsons,Rusher,1.06891673926999e-4,4.628554364076622e-5,7.579929323667191e-5,1.06891673926999e-4,1.379840546173261e-4,1000.018569195387,0.008040662994335406,2
Michael Schofield III,Blocker,1.0437997145792879e-4,5.356859445736448e-6,1.007814933999825e-4,1.0437997145792879e-4,1.0797844951587506e-4,1000.018132867978,9.306223152712247e-4,2
Andre James,Blocker,9.852270785820496e-5,3.4429770300557815e-5,7.53944600066963e-5,9.852270785820496e-5,1.2165095570971361e-4,1000.017115357074,0.005981104218165197,2
Jonathan Greenard,Rusher,9.77244821593825e-5,5.7805457676410435e-5,5.889358260242979e-5,9.77244821593825e-5,1.365553817163352e-4,1000.0169766910674,0.010041796000883866,2
Malcom Brown,Rusher,9.712155072730215e-5,7.241161890415149e-5,4.84789413016717e-5,9.712155072730215e-5,1.457641601529326e-4,1000.0168719511498,0.012579227122566542,2
Calvin Throckmorton,Blocker,9.575577136622203e-5,5.7062719363181304e-5,5.742380734230414e-5,9.575577136622203e-5,1.3408773539013994e-4,1000.0166346909739,0.009912769140449853,2
Robert Hunt,Blocker,9.271089411655925e-5,5.4039390578794774e-6,8.90807902612611e-5,9.271089411655925e-5,9.63409979718574e-5,1000.0161057416187,9.388008816095541e-4,2
Will Hernandez,Blocker,9.013864634849176e-5,2.053161388730299e-5,7.634650511049673e-5,9.013864634849176e-5,1.0393078758648681e-4,1000.0156588964142,0.003566666130003529,2
