player_name,role,mean_score,sd_score,q025,q25,q50,q75,q975,n_boot,fixed_lambda,bootstrap_scope
Robert Quinn,Rusher,0.5512417347090948,0.16179862373678314,0.2043517235064135,0.4441951237868822,0.5640598259499248,0.6697052955501753,0.8298612620426548,1000,7.337467970651383e-5,train_fit_end_to_end
T.J. Watt,Rusher,0.5273837581118179,0.19388505933132805,0.12597854781944684,0.3923623171282622,0.5366109517384496,0.6692953412853209,0.872279041913766,1000,7.337467970651383e-5,train_fit_end_to_end
Myles Garrett,Rusher,0.5202053246018608,0.18927463710279455,0.1424375455966997,0.38918793176709443,0.5276071364040816,0.6523773691648972,0.8631950188302082,1000,7.337467970651383e-5,train_fit_end_to_end
Khalil Mack,Rusher,0.45987517735633654,0.22174278026415092,-2.571919660128414e-5,0.2941328916640935,0.4650426757460854,0.6238302162894028,0.8677946581969355,1000,7.337467970651383e-5,train_fit_end_to_end
Nick Bosa,Rusher,0.443590211911603,0.1600370622941932,0.12242567080819587,0.3310006165188651,0.4494583390047948,0.5640300373775856,0.7539387627637327,1000,7.337467970651383e-5,train_fit_end_to_end
Jaelan Phillips,Rusher,0.4336904848415085,0.303293661641538,-0.09304757099608152,0.1937395354932745,0.4394775709540317,0.6549320408581045,0.9951314313532532,1000,7.337467970651383e-5,train_fit_end_to_end
Chandler Jones,Rusher,0.3419868472354237,0.2680343550914727,-0.12977060340837937,0.1397589421578655,0.33975389827011393,0.5352062916072856,0.8706348312094674,1000,7.337467970651383e-5,train_fit_end_to_end
Jonathan Allen,Rusher,0.3379979480801092,0.19976911100302025,-0.058460049937570986,0.1931853987083267,0.3475734684660164,0.4779257052625189,0.7200651231573454,1000,7.337467970651383e-5,train_fit_end_to_end
Markus Golden,Rusher,0.33336502964686093,0.23777162533584364,-0.0657064502998648,0.14832215421012263,0.3132650901629348,0.49027327691389544,0.8436066120292142,1000,7.337467970651383e-5,train_fit_end_to_end
Montez Sweat,Rusher,0.32827541474419436,0.17453328914104158,0.025143648994523787,0.19318555015331781,0.3294401496099176,0.4494433589308086,0.6813206910359474,1000,7.337467970651383e-5,train_fit_end_to_end
Carlos Dunlap,Rusher,0.32573659476397937,0.228381146562449,-0.09576739087932556,0.1682808429306714,0.3255077186551251,0.47957978162391685,0.8014312311251753,1000,7.337467970651383e-5,train_fit_end_to_end
Harold Landry III,Rusher,0.3214564817789768,0.18033937260057237,-0.017517269293651584,0.19792294935948979,0.31709990679516153,0.44230246143316,0.6790539030211007,1000,7.337467970651383e-5,train_fit_end_to_end
