player_name,role,bt_logit_score,elo_like_score,coefficient_source
Aaron Donald,Rusher,0.0014460728252120765,1000.2512086909492,lambda.min
Trey Hopkins,Blocker,0.001113822620454843,1000.1934909187343,lambda.min
Joe Thuney,Blocker,0.001025501627832536,1000.1781479908414,lambda.min
Calvin Throckmorton,Blocker,9.619913508409859e-4,1000.1671151257048,lambda.min
Josh Allen,Rusher,9.244458000864374e-4,1000.1605927954997,lambda.min
Kevin Zeitler,Blocker,8.987074882871887e-4,1000.1561215927845,lambda.min
Tyler Biadasz,Blocker,8.575216047449391e-4,1000.1489668720026,lambda.min
Zack Martin,Blocker,8.489994933622646e-4,1000.1474864296235,lambda.min
Adam Gotsis,Rusher,7.679831126847665e-4,1000.1334124427948,lambda.min
Erik McCoy,Blocker,7.543216396455262e-4,1000.1310392018526,lambda.min
Joel Bitonio,Blocker,7.50011763271001e-4,1000.1302904996417,lambda.min
Myles Garrett,Rusher,7.421452711693462e-4,1000.128923949997,lambda.min
Roy Robertson-Harris,Rusher,7.067630345943483e-4,1000.1227774259562,lambda.min
Quinnen Williams,Rusher,7.03232113111439e-4,1000.1221640420698,lambda.min
Malcom Brown,Rusher,6.943865163076846e-4,1000.1206274045173,lambda.min
Ben Powers,Blocker,6.626835173043396e-4,1000.1151200295066,lambda.min
Mitch Morse,Blocker,6.554393254690755e-4,1000.1138615844907,lambda.min
Folorunso Fatukasi,Rusher,6.391894878605244e-4,1000.1110386985686,lambda.min
J.C. Tretter,Blocker,6.056890038060823e-4,1000.1052190684222,lambda.min
Jacob Martin,Rusher,6.050775132556121e-4,1000.1051128416335,lambda.min
Ereck Flowers Sr.,Blocker,5.987289500964374e-4,1000.1040099832543,lambda.min
Gabe Jackson,Blocker,5.943606826453799e-4,1000.1032511374744,lambda.min
Michael Schofield III,Blocker,5.931272860607639e-4,1000.1030368745422,lambda.min
D.J. Jones,Rusher,5.886550553503118e-4,1000.1022599684944,lambda.min
Daquan Jones,Rusher,5.846363244123693e-4,1000.1015618434262,lambda.min
Maliek Collins,Rusher,5.667924664583529e-4,1000.0984620478081,lambda.min
Andrew Norwell,Blocker,5.625410294180582e-4,1000.0977234975494,lambda.min
