k,scale,n_eval,logloss_elo,logloss_base,delta_logloss,brier_elo,brier_base,delta_brier
4.0,400.0,31814,0.5571458671672742,0.5642403445006756,-0.0070944773334014055,0.1856526081878865,0.1883456913858331,-0.0026930831979465886
4.0,350.0,31814,0.5573096312956916,0.5642403445006756,-0.0069307132049840625,0.18572138112576742,0.1883456913858331,-0.002624310260065682
4.0,500.0,31814,0.5573370451491002,0.5642403445006756,-0.006903299351575409,0.185715327625585,0.1883456913858331,-0.0026303637602480834
4.0,300.0,31814,0.5577742169210075,0.5642403445006756,-0.006466127579668135,0.1859010678609831,0.1883456913858331,-0.0024446235248500037
8.0,500.0,31814,0.5580876444747167,0.5642403445006756,-0.006152700025958913,0.18602431379772613,0.1883456913858331,-0.0023213775881069654
4.0,250.0,31814,0.5587412768653733,0.5642403445006756,-0.005499067635302279,0.18625677296542575,0.1883456913858331,-0.002088918420407343
8.0,400.0,31814,0.5587728062864952,0.5642403445006756,-0.005467538214180445,0.18629091183295668,0.1883456913858331,-0.002054779552876418
8.0,350.0,31814,0.5594252303836574,0.5642403445006756,-0.004815114117018182,0.18654023891376814,0.1883456913858331,-0.0018054524720649556
12.0,500.0,31814,0.5597222111465865,0.5642403445006756,-0.004518133354089127,0.18665177239729275,0.1883456913858331,-0.0016939189885403494
8.0,300.0,31814,0.5604244749448513,0.5642403445006756,-0.0038158695558243583,0.186916445877992,0.1883456913858331,-0.0014292455078410982
12.0,400.0,31814,0.5610666467705708,0.5642403445006756,-0.0031736977301047853,0.18715831759876708,0.1883456913858331,-0.001187373787066015
16.0,500.0,31814,0.5615939522203565,0.5642403445006756,-0.002646392280319154,0.18735459910562513,0.1883456913858331,-0.000991092280207967
8.0,250.0,31814,0.5619803042419522,0.5642403445006756,-0.0022600402587233948,0.18749179417346248,0.1883456913858331,-0.0008538972123706134
12.0,350.0,31814,0.5621319363761921,0.5642403445006756,-0.0021084081244835406,0.1875556632401846,0.1883456913858331,-0.0007900281456484914
16.0,400.0,31814,0.5635260136590199,0.5642403445006756,-0.0007143308416557304,0.18807008538801848,0.1883456913858331,-0.0002756059978146208
20.0,500.0,31814,0.5635616755556788,0.5642403445006756,-0.0006786689449967964,0.18808248189271973,0.1883456913858331,-0.00026320949311336994
12.0,300.0,31814,0.563632444565185,0.5642403445006756,-0.0006078999354905967,0.18811029097179993,0.1883456913858331,-0.00023540041403316558
16.0,350.0,31814,0.5649822604855381,0.5642403445006756,0.0007419159848625068,0.18860480902856092,0.1883456913858331,0.00025911764272781856
24.0,500.0,31814,0.5655816516142043,0.5642403445006756,0.0013413071135286447,0.18882145957162683,0.1883456913858331,0.00047576818579372904
12.0,250.0,31814,0.565831425761838,0.5642403445006756,0.0015910812611623637,0.18891390044416112,0.1883456913858331,0.000568209058328023
20.0,400.0,31814,0.566059062770422,0.5642403445006756,0.0018187182697463333,0.18899617649241485,0.1883456913858331,0.0006504851065817496
16.0,300.0,31814,0.5669862820103804,0.5642403445006756,0.0027459375097047545,0.18933519680175978,0.1883456913858331,0.0009895054159266836
20.0,350.0,31814,0.5679084832426667,0.5642403445006756,0.0036681387419911227,0.18966747619054825,0.1883456913858331,0.0013217848047151481
24.0,400.0,31814,0.5686435131280866,0.5642403445006756,0.004403168627410969,0.18993125809389586,0.1883456913858331,0.0015855667080627578
32.0,500.0,31814,0.5697256999708351,0.5642403445006756,0.005485355470159492,0.19031898403706635,0.1883456913858331,0.0019732926512332494
16.0,250.0,31814,0.5698792268093671,0.5642403445006756,0.005638882308691473,0.1903796032410536,0.1883456913858331,0.002033911855220505
20.0,300.0,31814,0.5704345924722939,0.5642403445006756,0.006194247971618272,0.19057778433072503,0.1883456913858331,0.0022320929448919336
24.0,350.0,31814,0.5708945827222449,0.5642403445006756,0.0066542382215692975,0.19074047710782424,0.1883456913858331,0.002394785721991144
32.0,400.0,31814,0.573933117394706,0.5642403445006756,0.009692772894030366,0.19181961457895272,0.1883456913858331,0.0034739231931196213
24.0,300.0,31814,0.5739563514399986,0.5642403445006756,0.009716006939322952,0.19183165655509313,0.1883456913858331,0.00348596516926003
20.0,250.0,31814,0.5740594453182484,0.5642403445006756,0.009819100817572757,0.1918704619633871,0.1883456913858331,0.003524770577554015
32.0,350.0,31814,0.5769986170241478,0.5642403445006756,0.01275827252347217,0.19289894448623646,0.1883456913858331,0.004553253100403359
24.0,250.0,31814,0.5783243682461263,0.5642403445006756,0.014084023745450702,0.19336649170481465,0.1883456913858331,0.005020800318981555
32.0,300.0,31814,0.5811322662985374,0.5642403445006756,0.01689192179786181,0.19433178675476312,0.1883456913858331,0.005986095368930022
32.0,250.0,31814,0.5869682131155728,0.5642403445006756,0.022727868614897173,0.19630415102162255,0.1883456913858331,0.00795845963578945
