k,scale,n_eval,logloss_elo,logloss_base,delta_logloss,brier_elo,brier_base,delta_brier
8,500,31814,0.558087644474716,0.5642403445007799,-0.006152700026063829,0.1860243137977211,0.1883456913858151,-0.0023213775880940035
8,400,31814,0.5587728062864932,0.5642403445007799,-0.0054675382142866935,0.18629091183295773,0.1883456913858151,-0.0020547795528573776
12,500,31814,0.5597222111465817,0.5642403445007799,-0.0045181333541981505,0.18665177239728858,0.1883456913858151,-0.0016939189885265271
8,300,31814,0.5604244749448501,0.5642403445007799,-0.0038158695559297184,0.18691644587798611,0.1883456913858151,-0.0014292455078289967
12,400,31814,0.5610666467705758,0.5642403445007799,-0.0031736977302040392,0.18715831759876378,0.1883456913858151,-0.0011873737870513323
16,500,31814,0.5615939522203486,0.5642403445007799,-0.0026463922804312867,0.18735459910562446,0.1883456913858151,-9.910922801906474e-4
16,400,31814,0.5635260136590249,0.5642403445007799,-7.143308417549843e-4,0.18807008538802059,0.1883456913858151,-2.7560599779452577e-4
20,500,31814,0.5635616755556827,0.5642403445007799,-6.786689450971606e-4,0.18808248189271934,0.1883456913858151,-2.632094930957729e-4
12,300,31814,0.5636324445651729,0.5642403445007799,-6.078999356069481e-4,0.18811029097179593,0.1883456913858151,-2.3540041401917677e-4
24,500,31814,0.565581651614211,0.5642403445007799,0.0013413071134311672,0.18882145957163116,0.1883456913858151,4.757681858160445e-4
20,400,31814,0.5660590627704061,0.5642403445007799,0.0018187182696262072,0.18899617649241626,0.1883456913858151,6.504851066011508e-4
16,300,31814,0.5669862820103723,0.5642403445007799,0.0027459375095924,0.18933519680175662,0.1883456913858151,9.89505415941505e-4
24,400,31814,0.5686435131280888,0.5642403445007799,0.00440316862730894,0.18993125809390135,0.1883456913858151,0.001585566708086239
32,500,31814,0.5697256999708353,0.5642403445007799,0.005485355470055464,0.19031898403707004,0.1883456913858151,0.0019732926512549265
20,300,31814,0.570434592472298,0.5642403445007799,0.00619424797151813,0.19057778433072547,0.1883456913858151,0.0022320929449103633
32,400,31814,0.5739331173947018,0.5642403445007799,0.009692772893921897,0.19181961457895377,0.1883456913858151,0.0034739231931386616
24,300,31814,0.5739563514400104,0.5642403445007799,0.009716006939230581,0.19183165655509693,0.1883456913858151,0.0034859651692818183
32,300,31814,0.5811322662985351,0.5642403445007799,0.016891921797755227,0.19433178675476434,0.1883456913858151,0.005986095368949229
